CONTROL;SHIPMONTH;WEIGHT;WGTADJ;REGION;SECTIONS;STATUS;PRICE;SQFT;BEDROOMS;TITLED;LOCATION;FOUNDATION;SECURED;JSTATUS;JPRICE;JSQFT;JBEDROOM;JTITLE;JLOCATION;JFOUNDATION;JSECURED
19010001;201901;19,2632;1,0923;4;1;2;53000;440;1;2;3;2;1;R;R;R;R;R;R;R;R
19010002;201901;19,2632;1,0923;4;1;2;59000;620;1;2;1;3;1;R;R;R;R;R;R;R;R
19010003;201901;19,2632;1,0923;4;1;2;55000;920;1;2;3;3;1;R;R;R;R;R;R;R;R
19010004;201901;19,2632;1,0923;4;1;2;100000;700;1;2;1;2;1;R;R;R;R;R;R;R;R
19010005;201901;10,4833;1,0923;1;1;2;57000;1100;3;2;3;3;1;R;I;I;I;I;I;I;I
19010006;201901;10,4833;1,0923;1;1;2;42000;730;1;2;3;3;1;R;R;R;R;R;R;R;R
19010007;201901;51,7714;1,0923;3;1;2;49500;1100;3;3;3;3;1;R;R;R;R;R;R;R;R
19010008;201901;51,7714;1,0923;3;1;2;41300;610;1;2;3;3;1;I;I;I;I;I;I;I;I
19010009;201901;51,7714;1,0923;3;1;2;36800;610;1;2;1;3;1;R;R;R;R;R;R;R;R
19010010;201901;51,7714;1,0923;3;1;2;58000;1200;3;1;1;3;1;R;I;I;I;I;R;I;I
19010011;201901;51,7714;1,0923;3;1;2;60000;1200;3;2;3;3;1;I;I;I;I;I;I;I;I
19010012;201901;51,7714;1,0923;3;1;2;36700;1000;1;1;3;3;1;R;R;R;R;R;R;R;R
19010013;201901;13,1091;1,0923;2;1;2;61000;1300;1;2;1;3;1;I;I;I;I;I;I;I;I
19010014;201901;13,1091;1,0923;2;1;2;60000;1200;3;1;3;3;1;I;I;I;I;I;I;I;I
19010015;201901;13,1091;1,0923;2;1;2;49100;840;1;2;3;3;1;R;I;R;R;R;R;R;R
19010016;201901;13,1091;1,0923;2;1;2;9;1200;3;2;1;3;1;R;9;R;R;R;R;R;R
19010017;201901;13,1091;1,0923;2;1;2;9;1200;3;2;1;3;1;R;9;R;R;R;R;R;R
19010018;201901;13,1091;1,0923;2;1;2;45600;920;3;1;3;3;1;R;R;R;R;R;R;R;R
19010019;201901;13,1091;1,0923;2;1;2;32100;1300;1;2;1;3;1;R;R;R;R;R;R;R;R
19010020;201901;13,1091;1,0923;2;1;2;9;1100;3;1;1;3;1;R;9;R;R;R;R;R;R
19010021;201901;13,1091;1,0923;2;1;2;61000;1300;3;1;1;2;1;R;I;R;R;R;R;R;R
19010022;201901;13,1091;1,0923;2;1;2;41800;670;1;2;1;3;1;R;R;R;R;R;R;R;R
19010023;201901;51,7714;1,0923;3;1;2;47600;780;1;3;3;1;9;I;I;I;I;I;I;I;I
19010024;201901;13,1091;1,0923;2;1;2;9;1100;3;2;1;3;1;R;9;R;R;R;R;R;R
19010025;201901;13,1091;1,0923;2;1;2;60000;1200;3;2;1;3;1;I;I;I;I;I;I;I;I
